,rng_tp_mean,rng_tp_std,test_tm,deeptune_tp_mean,deeptune_tp_std,deeptune_tm,bayes-opt_tp_mean,bayes-opt_tp_std,bayes-opt_tm
50,10382.168899999999,16358.780497706844,1486.394536660064,10202.8455,16225.526150253823,1464.377468582776,11940.613500000001,17163.445582172095,1543.305165932525
51,10412.4453,16342.332755983305,1515.5653322375745,10560.8185,16420.931491985426,1493.6473604897149,11912.609000000002,17180.324923391843,1573.4178248084515
52,10398.487200000001,16350.620156576084,1544.5951053527383,10432.9738,16452.828508108858,1522.9706185496777,11936.5538,17166.174186700584,1603.8764509585885
53,10387.755500000001,16329.339140302242,1573.8137064235339,10708.0999,16508.92084045753,1552.1551741984872,11937.812,17165.303953442246,1634.4153604762682
54,10415.813200000002,16314.15790748593,1603.010478971174,10288.496299999999,16162.807618471714,1581.5253176944384,11939.302999999998,17164.273729041815,1664.8077602364328
55,10415.602600000002,16314.29009955031,1631.9829414113242,10289.3103,16162.291580402665,1610.8722369648722,12060.929799999998,17122.294438394052,1695.5016484482962
56,9991.781700000003,16021.889303742868,1661.1096668652708,10500.916299999999,16203.637502409,1639.997555993386,12048.402999999998,17130.539489471164,1726.2098110131437
57,9992.8339,16021.236616051203,1690.2347260551546,10937.8475,16504.523244271215,1669.2750821522886,12429.6976,17285.171165114978,1756.1511877613161
58,9991.0201,16022.357202167132,1719.3590971534302,11049.6402,16468.628511439194,1698.5516122417544,12566.131700000002,17240.323343059554,1786.822472244983
59,10323.7349,16156.367843145532,1748.484300371306,11452.113900000002,16717.98364318711,1727.8228320186188,12565.908400000004,17240.48397612519,1817.2510366403033
60,10315.8482,16161.123993146477,1777.7527998668124,11827.7797,16879.59293422436,1757.092941280501,12313.877300000004,17235.750388927765,1847.8661707621982
61,10626.0796,16480.234576482515,1807.0946017951635,12247.890000000003,17105.323203152286,1786.507689116614,12223.554400000005,17275.382968751997,1879.255627319303
62,10391.004599999998,16268.167661039912,1836.2614704287505,12401.449800000002,17158.654524986392,1815.9986714572576,11843.2164,17120.900077997565,1909.5204037344909
63,10033.698299999998,16096.013460055388,1865.351203174722,12408.722000000002,17171.241071844983,1845.3127700007415,11498.3885,17008.255209108625,1940.4631333066343
64,9924.1793,16045.262440137229,1894.4558064951075,12838.436300000003,17395.351174660238,1874.5480925752042,11496.5944,17009.458285852983,1970.9920735372675
65,9910.0728,16053.202925678792,1923.4700219854421,12745.424600000002,17265.267728074847,1903.7988381399286,11498.407299999999,17008.242627513042,2001.4054939970083
66,9922.4413,16046.158140943933,1952.547662564233,13195.543400000002,17515.82476453268,1932.9645452722616,11064.9931,16736.801757762245,2031.8257892808467
67,9921.57,16046.689862650554,1981.743632559655,13334.2196,17466.899254256317,1962.1884785375148,11467.263799999999,17019.04549502602,2062.4551088856438
68,9933.957,16039.626328317097,2010.8844073715404,13705.431199999999,17576.81485491494,1991.532522921441,11732.655699999998,17047.42340668626,2093.224799007435
69,9962.3324,16024.809596235653,2039.8956429645434,14127.9974,17753.58869188405,2020.8228472175792,11753.955399999999,17034.259366422273,2123.2592248603714
70,9964.1388,16023.696845311524,2069.080259075472,14299.991699999999,17949.766421646444,2049.982439963521,11327.554199999997,16783.730487724482,2154.2177202609273
71,9964.7733,16023.307498287739,2098.2688386594377,14164.3213,18005.94840775607,2079.3164198306295,11761.782399999998,17048.39237686534,2184.6789667760454
72,9589.301800000001,15739.797070271547,2127.5440048724395,14417.408899999999,17985.165276352836,2108.6550674592577,12100.841399999998,17150.815315029082,2215.097220376132
73,9156.739,15399.2646050929,2156.6262347423312,14853.7784,18158.698897744725,2138.0812234431487,11701.1912,16961.362431852947,2245.5236439429996
74,9156.681499999999,15399.298156359942,2185.8542225661463,15289.0558,18322.388221206762,2167.3140830718753,11756.970099999999,17052.831024092717,2275.6626727881617
75,9174.2146,15436.195926544755,2215.1710460189197,15287.5243,18323.65934241151,2196.6925561728663,11756.712099999999,17053.006308357086,2306.0545241835925
76,9608.7387,15784.268446595846,2244.27357993021,15704.4375,18476.547105672875,2226.1608645919177,12012.482499999998,17069.1861602492,2336.22577366724
77,9258.3043,15603.615686948473,2273.1712047477445,16132.9863,18607.620415191603,2255.417032574558,11592.1152,16837.679456651473,2366.528188409396
78,8818.582099999998,15234.310703553954,2302.2255368286073,16485.990400000002,18689.303152198954,2284.4659606834134,11590.3657,16838.87445058762,2396.647181993097
79,9100.814599999998,15355.15476392735,2331.263084783776,16910.759800000003,18796.287487649413,2313.6720154338777,11963.5523,16993.94984640586,2427.3802837278677
80,9095.248399999999,15358.300105684988,2360.4500336067226,16909.1051,18797.768441281565,2342.859865322335,11963.494200000001,16993.990150653684,2458.0151590721157
81,8665.8967,14962.254409379964,2389.6127913745777,17328.8227,18887.665627638045,2372.200152339175,12393.601100000002,17232.469383198386,2488.030595615758
82,8249.662,14614.479764182097,2418.83856517329,17685.0147,18919.8275603484,2401.5147052558796,12393.745600000002,17232.717563142116,2518.9968684340934
83,8261.9772,14608.183756209675,2447.78516580265,17683.8873,18920.87772644773,2430.8925462390403,12379.794200000002,17242.17694471775,2548.7109661261366
84,8261.975199999999,14608.18469683393,2476.8396459633404,17921.186799999996,19022.012622138536,2459.9908261458204,12819.9114,17485.13353971093,2578.9803236538464
85,8679.9843,14964.691154973516,2505.918630693842,18163.8857,18948.7217683199,2489.1982472950513,12819.860099999998,17485.170696139772,2608.999903295923
